artist,song,e_label,v_label
Alicia Keys,You Don't Know My Name,1.0,0.0
Mariah Carey,We Belong Together,1.0,2.0
Mario,Let Me Love You,1.0,1.0
Kanye West,Gold Digger,2.0,1.0
Rihanna,Pon de Replay,1.0,1.0
50 Cent,Candy Shop,1.0,2.0
James Blunt,You're Beautiful,1.0,1.0
Green Day,Boulevard of Broken Dreams,2.0,1.0
The Pussycat Dolls,Don't Cha,1.0,1.0
Daniel Powter,Bad Day,2.0,1.0
Akon,Bananza (Belly Dancer),2.0,1.0
Madonna,Hung Up,1.0,1.0
50 Cent,Just A Lil Bit,2.0,1.0
Crazy Frog,Axel F,2.0,2.0
Eminem,Ass Like That,2.0,2.0
Sean Paul,We Be Burnin',2.0,2.0
Gwen Stefani,Rich Girl,2.0,2.0
The Chemical Brothers,Galvanize,2.0,1.0
Fort Minor,Remember the Name (feat. Styles of Beyond),2.0,2.0
50 Cent,Disco Inferno,1.0,2.0
The Game,How We Do,1.0,1.0
Chris Brown,Run It! (feat. Juelz Santana),1.0,0.0
Mariah Carey,It's Like That,1.0,2.0
Black Eyed Peas,My Humps,2.0,1.0
Ciara,Oh (feat. Ludacris),1.0,1.0
50 Cent,Outta Control - Remix,1.0,1.0
Baby Bash,"Baby, I'm Back",1.0,2.0
Jennifer Lopez,Get Right,2.0,1.0
JAY-Z,Numb / Encore,2.0,2.0
The Game,Hate It Or Love It,2.0,1.0
Gorillaz,Feel Good Inc.,2.0,2.0
Black Eyed Peas,Don't Phunk With My Heart,2.0,1.0
Akon,Lonely,1.0,1.0
Bodyrockers,I Like The Way - Radio Edit,2.0,2.0
Sugababes,Push The Button,1.0,2.0
Jeezy,Soul Survivor,1.0,0.0
Eminem,Mockingbird,2.0,0.0
Shakira,La Tortura (feat. Alejandro Sanz),2.0,2.0
Gorillaz,DARE,2.0,2.0
Snoop Dogg,Signs,2.0,1.0
Robbie Williams,Tripping,2.0,2.0
David Banner,Play,1.0,1.0
Trillville,Some Cut,1.0,1.0
D4L,Laffy Taffy,1.0,1.0
Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),2.0,2.0
Rob Thomas,Lonely No More,2.0,2.0
Brian McFadden,Almost Here,1.0,0.0
Bobby V.,"Slow Down - 12"" Version",2.0,1.0
Backstreet Boys,Incomplete,1.0,0.0
Pretty Ricky,Grind With Me,1.0,0.0
Kanye West,Diamonds From Sierra Leone - Remix,2.0,1.0
Snoop Dogg,Drop It Like It's Hot,1.0,2.0
Fat Joe,Get It Poppin' (feat. Nelly) - Radio Version,1.0,1.0
Destiny's Child,Soldier (feat. T.I. & Lil' Wayne),1.0,2.0
Ciara,"1, 2 Step (feat. Missy Elliott) - Main",1.0,2.0
Amerie,1 Thing,2.0,2.0
Ludacris,Get Back,1.0,0.0
Franz Ferdinand,Do You Want To,2.0,2.0
Natalie Imbruglia,Shiver,2.0,0.0
Gwen Stefani,Hollaback Girl,2.0,2.0
Pretty Ricky,Your Body,1.0,1.0
Thirty Seconds To Mars,The Kill,2.0,0.0
Alicia Keys,Karma,2.0,2.0
2Pac,Ghetto Gospel,1.0,1.0
Craig David,Don't Love You No More (I'm Sorry),1.0,1.0
Katie Melua,Nine Million Bicycles,0.0,1.0
Lil Jon & The East Side Boyz,Lovers And Friends,1.0,1.0
Mariah Carey,Don't Forget About Us - Radio Edit,1.0,1.0
Ying Yang Twins,Wait (The Whisper Song),1.0,1.0
Will Smith,Switch,2.0,1.0
Bow Wow,Like You (feat. Ciara),1.0,1.0
Kaiser Chiefs,Everyday I Love You Less And Less,2.0,1.0
Kelly Clarkson,Behind These Hazel Eyes,2.0,1.0
Black Eyed Peas,Don't Lie,2.0,1.0
Westlife,You Raise Me Up,1.0,0.0
Ray J,One Wish,1.0,1.0
Papa Roach,Scars,2.0,1.0
Arctic Monkeys,I Bet You Look Good On The Dancefloor,2.0,2.0
Shayne Ward,That's My Goal,1.0,0.0
Bow Wow,Let Me Hold You (feat. Omarion),1.0,1.0
Kaiser Chiefs,I Predict A Riot,2.0,1.0
Usher,Caught Up,2.0,2.0
Kelly Clarkson,Because of You,1.0,0.0
3 Doors Down,Let Me Go,2.0,1.0
Nickelback,Photograph,2.0,1.0
T-Pain,I'm Sprung,0.0,0.0
Destiny's Child,Cater 2 U,1.0,1.0
The Pussycat Dolls,Stickwitu,1.0,1.0
Ryan Cabrera,True,1.0,1.0
Stereophonics,Dakota,2.0,0.0
Eminem,Like Toy Soldiers,2.0,1.0
Nelly,Over And Over,1.0,1.0
Coldplay,Speed of Sound,2.0,1.0
KT Tunstall,Suddenly I See,2.0,1.0
Destiny's Child,Girl,2.0,1.0
Kelly Clarkson,Since U Been Gone,2.0,1.0
U2,Sometimes You Can't Make It On Your Own,1.0,1.0
The All-American Rejects,Dirty Little Secret,2.0,1.0
Toby Keith,As Good As I Once Was,2.0,1.0
Gwen Stefani,Cool,2.0,2.0
Foo Fighters,Best of You,2.0,1.0
Shakira,Hips Don't Lie (feat. Wyclef Jean),2.0,2.0
Sean Paul,Temperature,1.0,2.0
Justin Timberlake,SexyBack (feat. Timbaland),1.0,2.0
Beyoncé,Irreplaceable,2.0,1.0
Amy Winehouse,Rehab,1.0,2.0
Rihanna,SOS,2.0,1.0
Gnarls Barkley,Crazy,1.0,1.0
Busta Rhymes,Touch It,1.0,1.0
Nelly Furtado,Maneater,2.0,2.0
Bob Sinclar,Rock This Party - Everybody Dance Now,2.0,2.0
Diddy,Come to Me (feat. Nicole Scherzinger),1.0,1.0
Madonna,Sorry,2.0,1.0
Chamillionaire,Ridin',2.0,2.0
Black Eyed Peas,Pump It,2.0,2.0
Nelly Furtado,Promiscuous,2.0,2.0
Fedde Le Grand,Put Your Hands Up for Detroit - Radio Edit,2.0,1.0
Sean Paul,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,2.0,2.0
The Pussycat Dolls,Buttons,2.0,1.0
Ciara,Get Up (feat. Chamillionaire),1.0,1.0
Eminem,Shake That,1.0,1.0
Cherish,Do It To It,2.0,2.0
Muse,Supermassive Black Hole,2.0,2.0
Chris Brown,Gimme That,1.0,1.0
Infernal,From Paris to Berlin,2.0,2.0
Cassie,Me & U,1.0,2.0
E-40,U and Dat (feat. T. Pain & Kandi Girl),1.0,0.0
The Pussycat Dolls,Beep,2.0,1.0
Lil Jon,Snap Yo Fingers,2.0,1.0
Armand Van Helden,My My My - Radio Edit,2.0,2.0
The Notorious B.I.G.,"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",1.0,1.0
Yung Joc,It's Goin' Down (feat. Nitti),1.0,1.0
Shayne Ward,No Promises,1.0,0.0
Justin Timberlake,My Love (feat. T.I.),2.0,2.0
Nickelback,Savin' Me,2.0,1.0
Nelly,Grillz,1.0,2.0
Take That,Patience,2.0,1.0
Fergie,London Bridge,1.0,1.0
Cascada,Everytime We Touch - Radio Edit,2.0,1.0
D4L,Laffy Taffy,1.0,1.0
LL Cool J,Control Myself,2.0,1.0
Beyoncé,Deja Vu (feat. Jay-Z),2.0,1.0
P!nk,Stupid Girls,2.0,1.0
Eminem,When I'm Gone,2.0,2.0
Kelis,Bossy,1.0,2.0
Bob Sinclar,Love Generation - Radio Edit,2.0,1.0
Meck,Thunder in My Heart Again (Radio Edit),2.0,2.0
Mary J. Blige,Be Without You - Kendu Mix,2.0,2.0
Girls Aloud,Something Kinda Ooooh,2.0,2.0
Rihanna,Unfaithful,1.0,1.0
Kanye West,Touch The Sky,2.0,1.0
Dem Franchize Boyz,"Lean Wit It, Rock Wit It",1.0,1.0
Evanescence,Call Me When You're Sober,2.0,0.0
Chingy,Pullin' Me Back,1.0,1.0
Nickelback,Far Away,2.0,0.0
Fall Out Boy,"Dance, Dance",2.0,1.0
Leona Lewis,A Moment Like This,1.0,0.0
T.I.,What You Know,2.0,0.0
Ludacris,Money Maker,1.0,1.0
Nick Lachey,What's Left Of Me,2.0,0.0
Jibbs,Chain Hang Low,1.0,2.0
Arctic Monkeys,When The Sun Goes Down,2.0,1.0
Rascal Flatts,Life is a Highway,2.0,1.0
Beyoncé,Check On It (feat. Slim Thug),2.0,2.0
Keyshia Cole,Love,1.0,0.0
Lily Allen,Smile,1.0,2.0
Ne-Yo,Sexy Love,1.0,1.0
JoJo,Too Little Too Late,2.0,2.0
Mary J. Blige,One,2.0,0.0
Bubba Sparxxx,Ms. New Booty,1.0,1.0
Amy Winehouse,You Know I'm No Good,2.0,2.0
Rascal Flatts,What Hurts The Most,2.0,0.0
Red Hot Chili Peppers,Dani California,2.0,2.0
Scissor Sisters,I Don't Feel Like Dancin',2.0,2.0
Ne-Yo,So Sick,1.0,1.0
Hinder,Lips Of An Angel,2.0,0.0
The Raconteurs,"Steady, As She Goes",1.0,1.0
The Fratellis,Chelsea Dagger,2.0,1.0
Fort Minor,Where'd You Go (feat. Holly Brook & Jonah Matranga),2.0,0.0
The Pussycat Dolls,Stickwitu,1.0,1.0
Panic! At The Disco,I Write Sins Not Tragedies,2.0,2.0
James Blunt,Goodbye My Lover,0.0,0.0
Christina Aguilera,Ain't No Other Man,2.0,1.0
Westlife,The Rose,0.0,0.0
Keane,Is It Any Wonder?,2.0,2.0
Orson,No Tomorrow,1.0,2.0
T-Pain,I'm N Luv (Wit a Stripper) (feat. Mike Jones),1.0,1.0
KT Tunstall,Black Horse And The Cherry Tree,2.0,2.0
Natasha Bedingfield,Unwritten,2.0,1.0
Razorlight,America,1.0,0.0
James Morrison,You Give Me Something,2.0,1.0
Snow Patrol,You're All I Have,2.0,1.0
The Fray,How to Save a Life,2.0,1.0
Sandi Thom,I Wish I Was a Punk Rocker (with Flowers in My Hair),1.0,2.0
My Chemical Romance,Welcome to the Black Parade,2.0,0.0
Razorlight,In The Morning,2.0,2.0
The All-American Rejects,Dirty Little Secret,2.0,1.0
James Morrison,Wonderful World,2.0,1.0
Chris Brown,Yo (Excuse Me Miss),1.0,1.0
P!nk,Who Knew,2.0,1.0
The Kooks,Naive,2.0,2.0
Leona Lewis,Bleeding Love,1.0,0.0
Rihanna,Umbrella,2.0,1.0
Britney Spears,Gimme More,2.0,1.0
Fergie,Big Girls Don't Cry (Personal),1.0,0.0
Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,2.0,2.0
Plain White T's,Hey There Delilah,0.0,0.0
Justin Timberlake,What Goes Around.../...Comes Around (Interlude),2.0,1.0
Gwen Stefani,The Sweet Escape,2.0,2.0
Timbaland,The Way I Are,2.0,2.0
Nelly Furtado,Say It Right,2.0,2.0
Ida Corr,Let Me Think About It,2.0,2.0
Alex Gaudino,Destination Calabria - Radio Edit,2.0,0.0
September,Cry for You,2.0,2.0
Akon,Smack That,2.0,2.0
Timbaland,Give It To Me,2.0,2.0
50 Cent,Ayo Technology,2.0,1.0
Eric Prydz,Proper Education - Radio Edit,2.0,0.0
Fedde Le Grand,Put Your Hands Up For Detroit - Radio Edit,2.0,1.0
Ciara,Like a Boy,2.0,1.0
Kanye West,Stronger,2.0,1.0
Beyoncé,Beautiful Liar,2.0,1.0
Gym Class Heroes,Cupid's Chokehold / Breakfast in America - Radio Mix,2.0,2.0
Akon,I Wanna Love You,1.0,1.0
Soulja Boy,Crank That (Soulja Boy),2.0,2.0
Fat Joe,Make It Rain,2.0,2.0
P!nk,U + Ur Hand,2.0,2.0
Rihanna,Shut Up And Drive,2.0,2.0
Lloyd,Get It Shawty,2.0,2.0
Kanye West,Can't Tell Me Nothing,1.0,0.0
Camille Jones,The Creeps - Fedde Le Grand Radio Mix,2.0,2.0
Linkin Park,What I've Done,2.0,0.0
Keyshia Cole,Last Night,2.0,2.0
Chris Brown,Kiss Kiss (feat. T-Pain),1.0,1.0
Shop Boyz,Party Like A Rock Star,2.0,2.0
Finger Eleven,Paralyzer,2.0,2.0
Justin Timberlake,Summer Love,1.0,1.0
MiMS,This Is Why I'm Hot,1.0,1.0
Fabolous,Make Me Better,1.0,1.0
Seether,Fake It,2.0,1.0
Take That,Patience,2.0,1.0
Arctic Monkeys,Brianstorm,2.0,1.0
Justin Timberlake,My Love (feat. T.I.),2.0,2.0
Fergie,Glamorous,2.0,1.0
Linkin Park,Bleed It Out,2.0,1.0
My Chemical Romance,Teenagers,2.0,2.0
Calvin Harris,Acceptable in the 80's,2.0,2.0
Sugababes,About You Now,2.0,1.0
Avril Lavigne,Girlfriend,2.0,2.0
Ne-Yo,Because Of You,1.0,2.0
Daughtry,It's Not Over,2.0,1.0
Unk,Walk It Out,2.0,2.0
Lloyd,You,2.0,2.0
Klaxons,Golden Skans,2.0,2.0
T-Pain,Bartender (feat. Akon),1.0,1.0
Baby Boy Da Prince,The Way I Live - Main Explicit,1.0,2.0
Fergie,Fergalicious,1.0,2.0
Omarion,Ice Box,2.0,2.0
Pretty Ricky,On the Hotline - Amended Version,2.0,2.0
Nickelback,Rockstar,2.0,2.0
Fall Out Boy,Thnks fr th Mmrs,2.0,1.0
Justin Timberlake,LoveStoned / I Think She Knows (Interlude),2.0,2.0
All Time Low,"Dear Maria, Count Me In",2.0,1.0
Amy Winehouse,Back To Black,1.0,1.0
Keyshia Cole,Let It Go,2.0,2.0
Ciara,Promise,1.0,1.0
Enrique Iglesias,Do You Know? (The Ping Pong Song),2.0,2.0
T2,Heartbroken - Edit,2.0,2.0
Robyn,With Every Heartbeat,2.0,1.0
Maroon 5,Makes Me Wonder,2.0,2.0
Fall Out Boy,"This Ain't A Scene, It's An Arms Race",2.0,1.0
Paramore,Misery Business,2.0,2.0
Hinder,Better Than Me,2.0,0.0
Huey,"Pop, Lock & Drop It - Video Edit",1.0,1.0
Foo Fighters,The Pretender,2.0,1.0
Plies,Shawty (feat. T Pain),2.0,0.0
Kaiser Chiefs,Ruby,2.0,1.0
Mark Ronson,Stop Me (feat. Daniel Merriweather),2.0,1.0
Bow Wow,Outta My System (feat. T-Pain & Johntá Austin),1.0,2.0
Jim Jones,We Fly High,2.0,1.0
The Red Jumpsuit Apparatus,Face Down,2.0,1.0
MIKA,Grace Kelly,2.0,2.0
Christina Aguilera,Candyman,2.0,2.0
Sean Kingston,Beautiful Girls,1.0,2.0
Akon,Don't Matter,1.0,1.0
James Blunt,1973,2.0,2.0
Carrie Underwood,Before He Cheats,2.0,0.0
Just Jack,Starz In Their Eyes,2.0,1.0
T-Pain,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),1.0,1.0
Bone Thugs-N-Harmony,I Tried,2.0,1.0
Avril Lavigne,When You're Gone,2.0,0.0
Rich Boy,Throw Some D's,2.0,1.0
MIKA,Love Today,2.0,1.0
Manic Street Preachers,Your Love Alone Is Not Enough (feat. Nina Persson),2.0,1.0
Elliott Yamin,Wait for You,1.0,1.0
Wyclef Jean,"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",2.0,1.0
Boys Like Girls,The Great Escape,2.0,1.0
Take That,Rule The World - Radio Edit,2.0,1.0
J. Holiday,Bed,1.0,2.0
Red Hot Chili Peppers,Snow (Hey Oh),2.0,1.0
Ludacris,Runaway Love,2.0,2.0
Flo Rida,Low (feat. T-Pain),1.0,0.0
Katy Perry,I Kissed A Girl,2.0,2.0
Rihanna,Take A Bow,1.0,1.0
Alicia Keys,No One,1.0,0.0
Timbaland,Apologize,1.0,0.0
Ne-Yo,Miss Independent,2.0,2.0
Chris Brown,With You,2.0,1.0
Beyoncé,If I Were a Boy,1.0,1.0
Kardinal Offishall,Dangerous,2.0,2.0
Madcon,Beggin (original version),2.0,1.0
September,Cry for You,2.0,2.0
Rihanna,Disturbia,2.0,2.0
Guru Josh Project,Infinity 2008,2.0,1.0
Britney Spears,Break the Ice,2.0,2.0
Lil Wayne,Lollipop,1.0,1.0
Basshunter,Now You're Gone - Video Edit,2.0,1.0
Kanye West,Flashing Lights,1.0,1.0
Madonna,4 Minutes (feat. Justin Timberlake & Timbaland),2.0,2.0
Katy Perry,Hot N Cold,2.0,2.0
Rihanna,Don't Stop The Music,2.0,1.0
Snoop Dogg,Sensual Seduction,2.0,1.0
Akon,Right Now (Na Na Na),2.0,1.0
Britney Spears,Womanizer,2.0,0.0
Eric Prydz,Pjanoo - Radio Edit,2.0,2.0
Kelly Rowland,Work,2.0,1.0
Jeezy,Put On,2.0,0.0
Madonna,Give It 2 Me,2.0,2.0
The Pussycat Dolls,When I Grow Up,2.0,1.0
will.i.am,Heartbreaker,1.0,1.0
Soulja Boy,Crank That (Soulja Boy),2.0,2.0
Britney Spears,Piece of Me,1.0,2.0
T.I.,Live Your Life,2.0,1.0
Ne-Yo,Closer,2.0,1.0
Lil Wayne,A Milli,2.0,2.0
Colby O'Donis,What You Got,1.0,0.0
Miley Cyrus,See You Again,2.0,2.0
Basshunter,All I Ever Wanted - Radio Edit,2.0,1.0
Chris Brown,Kiss Kiss (feat. T-Pain),1.0,1.0
Finger Eleven,Paralyzer,2.0,2.0
Alesha Dixon,The Boy Does Nothing,2.0,2.0
Dizzee Rascal,Dance Wiv Me - Radio Edit,2.0,2.0
Gabriella Cilmi,Sweet About Me,2.0,1.0
Jack White,Another Way to Die,2.0,1.0
Plies,Hypnotized (feat. Akon),1.0,1.0
The Pussycat Dolls,I Hate This Part,1.0,1.0
Sean Kingston,Take You There,2.0,1.0
Natasha Bedingfield,Pocketful of Sunshine,2.0,2.0
The Offspring,"You're Gonna Go Far, Kid",2.0,1.0
Kanye West,Homecoming,2.0,2.0
Estelle,American Boy,2.0,1.0
Saving Abel,Addicted,2.0,1.0
Pendulum,Propane Nightmares,2.0,0.0
The Game,My Life,2.0,1.0
Danity Kane,Damaged,1.0,2.0
P!nk,So What,2.0,1.0
Kanye West,Love Lockdown,1.0,0.0
Gym Class Heroes,Cookie Jar (feat. The-Dream),2.0,1.0
M.I.A.,Paper Planes,2.0,1.0
3 Doors Down,It's Not My Time,2.0,0.0
Kylie Minogue,Wow,2.0,2.0
Mariah Carey,Touch My Body,1.0,2.0
MGMT,Kids,2.0,0.0
The Ting Tings,Shut Up and Let Me Go,2.0,2.0
Lil Wayne,Got Money,1.0,2.0
Santana,Into the Night (feat. Chad Kroeger),2.0,1.0
The-Dream,I Luv Your Girl,0.0,0.0
Wiley,Wearing My Rolex - Radio Edit,2.0,2.0
Usher,Love in This Club (feat. Young Jeezy),2.0,1.0
Sam Sparro,Black & Gold - Radio Edit,2.0,1.0
"H ""two"" O",What's It Gonna Be (feat. Platnum),2.0,2.0
The Ting Tings,That's Not My Name,2.0,2.0
Plies,"Bust It Baby, Pt. 2 (feat. Ne-Yo)",2.0,2.0
James Morrison,Broken Strings,2.0,0.0
Leona Lewis,Run,1.0,0.0
Metro Station,Shake It,2.0,2.0
T.I.,Whatever You Like,2.0,1.0
Trey Songz,Can't Help but Wait,2.0,1.0
OneRepublic,Stop And Stare,2.0,0.0
Alexandra Burke,Hallelujah,1.0,0.0
Mary J. Blige,Just Fine,2.0,1.0
Jordin Sparks,One Step At a Time,2.0,2.0
Coldplay,Viva La Vida,1.0,1.0
Kings of Leon,Sex on Fire,2.0,1.0
Kanye West,Good Life,2.0,1.0
Duffy,Mercy,2.0,2.0
David Archuleta,Crush,1.0,1.0
J. Holiday,Suffocate - Superclean,1.0,1.0
Gavin DeGraw,In Love With a Girl,2.0,2.0
Jordin Sparks,Tattoo,2.0,1.0
Coldplay,Violet Hill,1.0,0.0
Ray J,Sexy Can I feat. Yung Berg,2.0,2.0
Jennifer Hudson,Spotlight,2.0,1.0
John Legend,Green Light (feat. André 3000),2.0,2.0
Jonas Brothers,Burnin' Up,2.0,2.0
Lupe Fiasco,Superstar (feat. Matthew Santos),2.0,1.0
Chris Brown,Forever,2.0,1.0
Adele,Chasing Pavements,1.0,0.0
Leona Lewis,Better in Time,2.0,1.0
Fergie,Clumsy,1.0,1.0
T-Pain,Can't Believe It (feat. Lil' Wayne),1.0,0.0
Black Eyed Peas,I Gotta Feeling,2.0,1.0
Lady Gaga,Poker Face,2.0,2.0
Beyoncé,Halo,2.0,1.0
David Guetta,Sexy Bitch (feat. Akon),1.0,2.0
Flo Rida,Right Round,2.0,2.0
Taylor Swift,Love Story,2.0,0.0
Pitbull,Hotel Room Service,1.0,2.0
Britney Spears,Circus,2.0,2.0
Lady Gaga,LoveGame,2.0,2.0
Skillet,Monster,2.0,2.0
The Prodigy,Omen,2.0,1.0
Black Eyed Peas,Meet Me Halfway,1.0,1.0
Kanye West,Heartless,1.0,1.0
Kid Cudi,Day 'N' Nite (Nightmare),1.0,2.0
Lady Gaga,Just Dance,2.0,2.0
Britney Spears,If U Seek Amy,1.0,1.0
Pitbull,I Know You Want Me (Calle Ocho),2.0,2.0
Mariah Carey,Obsessed,1.0,1.0
Beyoncé,Sweet Dreams,2.0,2.0
Agnes,Release Me,2.0,2.0
Black Eyed Peas,Boom Boom Pow,2.0,1.0
Shakira,She Wolf,2.0,2.0
Lady Gaga,Paparazzi,2.0,1.0
JAY-Z,Empire State Of Mind,2.0,2.0
OneRepublic,All The Right Moves,2.0,1.0
Jeremih,Birthday Sex,1.0,1.0
Cascada,Evacuate The Dancefloor,2.0,2.0
Linkin Park,New Divide,2.0,1.0
Kevin Rudolf,Let It Rock,2.0,1.0
JAY-Z,Run This Town,2.0,1.0
Lady Gaga,Bad Romance,2.0,2.0
T.I.,Live Your Life,2.0,1.0
Eminem,We Made You,2.0,2.0
Dizzee Rascal,Bonkers,2.0,2.0
Ciara,Love Sex Magic (feat. Justin Timberlake),1.0,2.0
Rihanna,Russian Roulette,1.0,0.0
Soulja Boy,Turn My Swag On,2.0,1.0
The xx,Intro,2.0,0.0
Jay Sean,Down,2.0,2.0
Keri Hilson,Turnin Me On - Original Dirty,1.0,0.0
David Guetta,When Love Takes Over (feat. Kelly Rowland),2.0,1.0
Cheryl,Fight For This Love,2.0,2.0
Soulja Boy,Kiss Me Thru The Phone,2.0,2.0
Eminem,Crack A Bottle,2.0,1.0
P!nk,Sober,2.0,1.0
Tinchy Stryder,Number 1,2.0,2.0
Pixie Lott,"Mama Do (Uh Oh, Uh Oh)",2.0,1.0
JLS,Beat Again - Radio Edit,2.0,2.0
3OH!3,DONTTRUSTME,2.0,1.0
A.R. Rahman,Jai Ho! (You Are My Destiny),2.0,2.0
The Pussycat Dolls,I Hate This Part,1.0,1.0
Akon,Beautiful,2.0,1.0
Alexandra Burke,Bad Boys (feat. Flo Rida),2.0,1.0
Mario,Break Up,1.0,1.0
Drake,Forever,2.0,1.0
Selena Gomez & The Scene,Naturally,2.0,2.0
Kanye West,Love Lockdown,1.0,0.0
The Veronicas,Untouched,2.0,1.0
Fabolous,Throw It In The Bag,1.0,2.0
Jason Derulo,Whatcha Say,2.0,2.0
Lily Allen,Not Fair,2.0,2.0
T.I.,Dead And Gone,2.0,1.0
Sean Kingston,Fire Burning,2.0,2.0
Empire of the Sun,Walking On A Dream,2.0,2.0
Cobra Starship,Good Girls Go Bad (feat. Leighton Meester),2.0,1.0
Nickelback,If Today Was Your Last Day,2.0,1.0
La Roux,Bulletproof,2.0,2.0
Kasabian,Fire,2.0,0.0
Calvin Harris,I'm Not Alone - Radio Edit,2.0,1.0
Justin Bieber,One Time,2.0,2.0
Jamie Foxx,Blame It,1.0,1.0
La Roux,In For The Kill,2.0,2.0
Muse,Uprising,2.0,1.0
Nickelback,Gotta Be Somebody,2.0,0.0
James Morrison,Broken Strings,2.0,0.0
T.I.,Whatever You Like,2.0,1.0
Dizzee Rascal,Holiday,2.0,2.0
Beyoncé,Single Ladies (Put a Ring on It),1.0,0.0
Boys Like Girls,Love Drunk,2.0,1.0
The-Dream,Rockin' That Shit,1.0,1.0
OneRepublic,Secrets,2.0,1.0
JLS,Everybody in Love,2.0,1.0
Jason Aldean,Big Green Tractor,1.0,1.0
The Fray,Never Say Never,1.0,0.0
Lily Allen,The Fear,2.0,1.0
Kings of Leon,Sex on Fire,2.0,1.0
Drake,Best I Ever Had,2.0,1.0
Kelly Clarkson,Already Gone,2.0,0.0
Miley Cyrus,Party In The U.S.A.,2.0,1.0
Jordin Sparks,Battlefield,1.0,1.0
Ne-Yo,Mad,1.0,2.0
Green Day,21 Guns,2.0,1.0
Keri Hilson,Knock You Down,2.0,1.0
Taylor Swift,You Belong With Me,2.0,1.0
Shinedown,Second Chance,2.0,0.0
Asher Roth,I Love College,2.0,1.0
Katy Perry,Waking Up In Vegas,2.0,1.0
Kelly Clarkson,My Life Would Suck Without You,2.0,1.0
Mumford & Sons,Little Lion Man,1.0,1.0
The Fray,You Found Me,2.0,1.0
Bruno Mars,Just the Way You Are,2.0,1.0
Eminem,Love The Way You Lie,2.0,1.0
Lady Gaga,Bad Romance,2.0,2.0
Stromae,Alors on danse - Radio Edit,1.0,2.0
Kesha,TiK ToK,2.0,2.0
David Guetta,Memories (feat. Kid Cudi),2.0,1.0
Taio Cruz,Dynamite,2.0,2.0
Rihanna,Only Girl (In The World),2.0,1.0
Katy Perry,California Gurls,2.0,1.0
Kesha,Take It Off,2.0,2.0
INNA,Hot - Play & Win Radio Version,2.0,1.0
Far East Movement,Like A G6,2.0,2.0
